ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
"Ubiquitin E3 ligase (DDB1, DYRK2, EDD, VPRBP)",51366;1642;8445;9730,GO:0044772;GO:0006511;GO:0006468,mitotic cell cycle phase transition;ubiquitin-dependent protein catabolic process;protein phosphorylation,14.13.01.01;14.07.03,"proteasomal degradation (ubiquitin/proteasomal pathway);modification by phosphorylation, dephosphorylation, autophosphorylation",EDVP\u2013DYRK2 complex regulates katanin p60 ubiquitylation. EDVP\u2013DYRK2 complex controls mitotic transition through the modulation of katanin protein levels.,UBR5;DDB1;DYRK2;DCAF1
CDKN1A-TP53-CDK1-PCNA complex,7157;983;1026,,,,,,TP53;CDK1;CDKN1A
RAB27A-SLP3-KLC1 transport complex,5873;3831;94120,GO:0043316,cytotoxic T cell degranulation,,,Inhibition of the Rab27a/Slp3/kinesin-1 transport compleximpairs lytic granule secretion. This multiprotein complex enables lytic granules to reach the plasma membrane and is thus essential for their release into the IS (immune synapse).,RAB27A;KLC1;SYTL3
BAX-DNAJA1-HSPA1B complex,None;3303;None,GO:0043066,negative regulation of apoptotic process,40.10.02.01,anti-apoptosis,"Experiments indicate that CHOP-induced apoptosis is mediated by translocation of Bax from the cytosol to the mitochondria, and HSP70/DNAJA1 or DNAJA2 chaperone pair prevents apoptosis by interacting with Bax and preventing translocation to the mitochondria.",BAX;HSPA1B;DNAJA1
BAX-DNAJA2-HSPA1B complex,None;10294;3303,GO:0043066,negative regulation of apoptotic process,40.10.02.01,anti-apoptosis,"Experiments indicate that CHOP-induced apoptosis is mediated by translocation of Bax from the cytosol to the mitochondria, and HSP70/DNAJA1 or DNAJA2 chaperone pair prevents apoptosis by interacting with Bax and preventing translocation to the mitochondria.",BAX;DNAJA2;HSPA1B
GIT1-ARHGEF7-PAK1-PXN complex,5829;5058;8874;28964,,,,,,PXN;PAK1;ARHGEF7;GIT1
"MCC complex (p85alpha, p110alpha, Akt,14-3-3theta, beta-catenin)",18708;11651;18706;22631;12387,GO:0050727,regulation of inflammatory response,,,,Pik3r1;Akt1;Pik3ca;Ywhaz;Ctnnb1
Calcineurin-FKBP12 complex,2280;5534;5530,GO:0019722;GO:0005955;GO:0005516;GO:0016791;GO:0042110,calcium-mediated signaling;calcineurin complex;calmodulin binding;phosphatase activity;T cell activation,30.01.09.03,Ca2+ mediated signal transduction,"Calcineurin (CaN) is a calcium- and calmodulin-dependent protein serine/threonine phosphatase which is critical for several important cellular processes, including T-cell activation. CaN is a heterodimer composed of a catalytic A unit and a regulatory B unit.",FKBP1A;PPP3R1;PPP3CA
PEF1-ALG2 complex,10016;553115,GO:0051592;GO:0005737,response to calcium ion;cytoplasm,70.03,cytoplasm,"Peflin dissociated from ALG-2 in the presence of Ca(2+). Peflin and ALG-2 co-localized in the cytoplasm, but ALG-2 was also detected in the nuclei as revealed by immunofluorescent staining and subcellular fractionation. Peflin was recovered in the cytosolic fraction in the absence of Ca(2+) but in the membrane/cytoskeletal fraction in the presence of Ca(2+). These results suggest that peflin has features common to those of other PEF proteins (dimerization and translocation to membranes) and may modulate the function of ALG-2 in Ca(2+) signaling. Peflin, a Ca(2+)-binding protein, belongs to the penta-EF-hand (PEF) protein family, which includes the calpain small subunit, sorcin, grancalcin, and ALG-2 (apoptosis-linked gene 2).",PDCD6;PEF1
Ship1-Hdac1-Hspa2-Kctd19 complex,433759;15512;279499;16331,GO:0005634;GO:0007283;GO:0006338,nucleus;spermatogenesis;chromatin remodeling,70.10,nucleus,,Hdac1;Hspa2;Kctd19;Inpp5d
CORVET complex,23355;9392;65082;64601;55823;57617,GO:0033263;GO:0099022;GO:0034058,CORVET complex;vesicle tethering;endosomal vesicle fusion,,,,VPS8;TGFBRAP1;VPS33A;VPS16;VPS11;VPS18
HOPS complex,27072;65082;23339;64601;55823;57617,GO:0099022;GO:0034058;GO:0035542;GO:0019048;GO:0051607;GO:0061909,vesicle tethering;endosomal vesicle fusion;regulation of SNARE complex assembly;modulation by virus of host process;defense response to virus;autophagosome-lysosome fusion,,,"The mammalian HOPS complex is recruited to membranes by binding to the RAB7 effector RILP (PMID:26463206). Autophagy is a cellular surveillance mechanism to combat invading pathogens. SARS-CoV-2 protein ORF3 inhibits autophagy by directly interacting with the VPS39 subunit of the HOPS complex, thereby preventing the HOPS complex from interacting with the SNARE protein STX17 required for autolysosome formation. (PMID:33422265)",VPS41;VPS33A;VPS39;VPS16;VPS11;VPS18
Endosomal targeting complex (VIPAS39-VPS33B),26276;63894,GO:0034058;GO:0099022,endosomal vesicle fusion;vesicle tethering,,,,VPS33B;VIPAS39
DNJC3-DNAJB1-HSPA8 complex,3312;3337;5611,GO:0039585,PKR-mediated signaling,,,,HSPA8;DNAJB1;DNAJC3
Dnajc5-Sgta complex,13002;15481;52551,GO:0016020;GO:0005802,membrane;trans-Golgi network,,,,Dnajc5;Hspa8;Sgta
Dnajc5b-Sgta-Hsc70 complex,15481;52551;66326,GO:0031982;GO:0016020;GO:0007268,vesicle;membrane;chemical synaptic transmission,34.03.01,synaptic transmission,,Hspa8;Sgta;Dnajc5b
DNAJC7-HSPA8-HSP90AA1 complex,100348873;None;7266,GO:0009408;GO:0061077,response to heat;chaperone-mediated protein folding,32.01.05,heat shock response,,HSPA8;HSP90AA1;DNAJC7
NMNAT2-HSP90 complex,3320;23057,GO:0061077;GO:0042026,chaperone-mediated protein folding;protein refolding,,,"Elevating NMNAT2 levels in rTg4510 mice (aFrontotemporal Dementia and Parkinsonism-17 (FTDP-17) tauopathy model) ameliorates their neurodegenerative phenotype. These finding suggest a role for NMNAT2 in neuronal maintenance in the brain, but the mechanism underlying neuroprotection remains to be elucidated.",HSP90AA1;NMNAT2
FOXO1-CREB1 complex,12912;56458,GO:0006355,"regulation of transcription, DNA-templated",11.02.03.04,transcriptional control,,Creb1;Foxo1
FOXO1-ATF4 complex,11911;56458,GO:0006355,"regulation of transcription, DNA-templated",11.02.03.04,transcriptional control,,Atf4;Foxo1
ATF4-CREB1 complex,1385;468,GO:0006355,"regulation of transcription, DNA-templated",11.02.03.04,transcriptional control,,CREB1;ATF4
MAK-ACTR-AR complex,367;4117;8202,GO:0060765;GO:0006355,"regulation of androgen receptor signaling pathway;regulation of transcription, DNA-templated",11.02.03.04,transcriptional control,MAK and ACTR seem to be in proximity and synergize with each other in the transactivation of AR.,AR;MAK;NCOA3
EARP complex,55275;6293;55610;738,GO:0032456,endocytic recycling,,,,VPS53;VPS52;VPS50;VPS51
MLL2 complex,4221;8085;8473;11168;3054;11091;5929;84661;9070;29915,GO:0051568;GO:0006355;GO:0005634;GO:0006325,"histone H3-K4 methylation;regulation of transcription, DNA-templated;nucleus;chromatin organization",11.02.03.04;70.10,transcriptional control;nucleus,,MEN1;KMT2D;OGT;PSIP1;HCFC1;WDR5;RBBP5;DPY30;ASH2L;HCFC2
MLL1 complex,4221;8473;3054;11091;4297;5929;84661;9070,GO:0051568;GO:0006355;GO:0005634;GO:0006325,"histone H3-K4 methylation;regulation of transcription, DNA-templated;nucleus;chromatin organization",11.02.03.04;70.10,transcriptional control;nucleus,,MEN1;OGT;HCFC1;WDR5;KMT2A;RBBP5;DPY30;ASH2L
GARP complex,55275;6293;51542;738,GO:0042147;GO:0005802;GO:0000938,"retrograde transport, endosome to Golgi;trans-Golgi network;GARP complex",,,"GARP deficiency results in accumulation of sphingolipid synthesis intermediates and lysosomal dysfunction, indicating that GARP is necessary for sphingolipid homeostasis (PMID:26357016).",VPS53;VPS52;VPS54;VPS51
TRAPP complex oligomer,27095;79090;6399;7109;100128327;60684;122553;126003;51112;83696;51693;51399;22878;58485,GO:0006888;GO:0016192;GO:0030137;GO:0060271,endoplasmic reticulum to Golgi vesicle-mediated transport;vesicle-mediated transport;COPI-coated vesicle;cilium assembly,20.09.07.03;20.09.07,"ER to Golgi transport;vesicular transport (Golgi network, etc.)","The human TRAPP complex forms oligomers. Oligomerization of TRAPP can give rise to complexes with variable components in any one of several positions (i.e., C6a/b, C3/C3L) and might allow for a combinatorial diversification of TRAPP function, perhaps regulating cell-specific activities.",TRAPPC3;TRAPPC6A;TRAPPC2;TRAPPC10;TRAPPC3L;TRAPPC11;TRAPPC6B;TRAPPC5;TRAPPC12;TRAPPC9;TRAPPC2L;TRAPPC4;TRAPPC8;TRAPPC1
Set1A complex,9739;8473;3054;11091;5929;80335;84661;30827;9070;29915,GO:0051568;GO:0005634;GO:0006355;GO:0006325,"histone H3-K4 methylation;nucleus;regulation of transcription, DNA-templated;chromatin organization",70.10;11.02.03.04,nucleus;transcriptional control,,SETD1A;OGT;HCFC1;WDR5;RBBP5;WDR82;DPY30;CXXC1;ASH2L;HCFC2
Set1B complex,8473;3054;11091;5929;80335;259282;91272;84661;30827;9070;23067;29915,GO:0051568;GO:0005634;GO:0006355;GO:0006325,"histone H3-K4 methylation;nucleus;regulation of transcription, DNA-templated;chromatin organization",70.10;11.02.03.04,nucleus;transcriptional control,,OGT;HCFC1;WDR5;RBBP5;WDR82;BOD1L1;BOD1;DPY30;CXXC1;ASH2L;SETD1B;HCFC2
VPS34-VPS15-BECLIN1-UVRAG-BCL2 complex,596;8678;5289;30849;7405,GO:0000045,autophagosome assembly,,,"Beclin1 functions as a platform to form a Bcl-2\u2013UVRAG\u2013PI(3)KC3 multiprotein complex in which binding of each constituent requires a different region of Beclin1. Bcl-2\u2013Beclin1 interaction declines during starvation, whereas the UVRAG\u2013Beclin1 interaction remains intact. This indicates that UVRAG and Bcl-2 function as activator and repressor, respectively. Under stressed conditions, Bcl-2 only weakly associates with the Beclin\u2013PI(3)KC3 complex, whereas UVRAG remains in the complex, resulting in continuously activating signal transduction and thus unbalanced, amplified autophagy. (PMID:16799551)",BCL2;BECN1;PIK3C3;PIK3R4;UVRAG
CUL4B-DDB1-DTL-CSN complex,9318;2873;8450;1642;51514,,,,,"CUL4/DDB1 E3 ligase complex plays a critical role in regulating the cell cycle progression, replication and DNA damage.",COPS2;GPS1;CUL4B;DDB1;DTL
SERCA-PLN complex,488;5350,GO:0006816;GO:1901897;GO:0003697;GO:0035198,calcium ion transport;regulation of relaxation of cardiac muscle;single-stranded DNA binding;miRNA binding,,,,ATP2A2;PLN
ILK-SERCA2A-PLN complex,488;5350;3611,GO:1901897;GO:0030018,regulation of relaxation of cardiac muscle;Z disc,,,,ATP2A2;PLN;ILK
ILK-HSP90-CDC37 complex,3320;3611;11140,,,,,,HSP90AA1;ILK;CDC37
SLN-ATP2A1 complex,6588;487,GO:0051924,regulation of calcium ion transport,,,,SLN;ATP2A1
SLN-PLN-SERCA1A complex,6588;487;5350,GO:1901894,regulation of ATPase-coupled calcium transmembrane transporter activity,,,,SLN;ATP2A1;PLN
SLN-PLN-SERCA2A complex,6588;488;5350,GO:1901894,regulation of ATPase-coupled calcium transmembrane transporter activity,,,,SLN;ATP2A2;PLN
SERCA2a-alphaKAP-CaM-CaMKII complex,801;488;3836;815,,,,,,CALM1;ATP2A2;KPNA1;CAMK2A
AKT1-FANCI-FANCD2-PHLPP1-PHLPP2-USP1-WDR48 complex,23239;7398;207;23035;57599;2177;55215,,,,,,PHLPP1;USP1;AKT1;PHLPP2;WDR48;FANCD2;FANCI
Ubiquilin-VCP-erasin complex,7415;23190;29979,GO:0036503;GO:0034976,ERAD pathway;response to endoplasmic reticulum stress,,,,VCP;UBXN4;UBQLN1
VAPA -ZFYVE27 complex,118813;9218,GO:0005783;GO:0016192;GO:0071787;GO:0071788,endoplasmic reticulum;vesicle-mediated transport;endoplasmic reticulum tubular network formation;endoplasmic reticulum tubular network maintenance,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)","Protrudin is an integral membrane protein that regulates polarized vesicular trafficking in neurons. It possesses a hairpin domain and interacts with HSP-related proteins including myelin proteolipid protein 1 (SPG2), atlastin-1 (SPG3A), REEP1 (SPG31), REEP5 (similar to REEP1), Kif5A (SPG10), Kif5B, Kif5C, andreticulon 1, 3, and 4 (similar to reticulon 2, SPG12). Membrane topology analysis indicated that one of three hydrophobic segments of protrudin forms a hydrophobic hairpin domain similar to those of other SPG proteins. Protrudin was found to localize predominantly to the tubular endoplasmic reticulum (ER), and forced expression of protrudin promoted the formation and stabilization of the tubular ER network. Protrudin facilitates the interaction of Kif5 with Rab11, VAP family proteins, Surf4, and reticulon proteins, suggesting that it serves as an adaptor protein and that the protrudin-Kif5 complex contributes to the transport of these proteins in neurons.",ZFYVE27;VAPA
KIF5A-RAB11B-ZFYVE27 complex,3798;9230;118813,GO:0005783;GO:0071787;GO:0071788;GO:0016192,endoplasmic reticulum;endoplasmic reticulum tubular network formation;endoplasmic reticulum tubular network maintenance;vesicle-mediated transport,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)","Protrudin is a membrane protein that regulates polarized vesicular trafficking in neurons (PMID:24668814). It serves as an adaptor molecule that connects KIF5 and its cargoes in vesicular transport during process formation. Protrudin facilitated the interaction of KIF5 with Rab11, VAP-A and -B, Surf4, and RTN3, suggesting that protrudin serves as an adaptor protein and that the protrudin-KIF5 complex contributes to the transport of these proteins in neurons. Protrudin, KIF5, and Rab11b form a membrane-associated complex, consistent with the fact that protrudin has two putative transmembrane domains.",KIF5A;RAB11B;ZFYVE27
RAB11A -ZFYVE27 complex,8766;118813,GO:0005783;GO:0016192,endoplasmic reticulum;vesicle-mediated transport,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)","Protrudin is a membrane protein that regulates polarized vesicular trafficking in neurons (PMID:24668814). It serves as an adaptor molecule that connects KIF5 and its cargoes in vesicular transport during process formation. Protrudin facilitated the interaction of KIF5 with Rab11, VAP-A and -B, Surf4, and RTN3, suggesting that protrudin serves as an adaptor protein and that the protrudin-KIF5 complex contributes to the transport of these proteins in neurons. Coimmunoprecipitation experiments in HeLa revealed that protrudin also associated with GDP-Rab11a and GDP-Rab11b to similar extents.",RAB11A;ZFYVE27
RAB11B-ZFYVE27 complex,9230;118813,GO:0005783;GO:0016192,endoplasmic reticulum;vesicle-mediated transport,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)","Protrudin is a membrane protein that regulates polarized vesicular trafficking in neurons (PMID:24668814). It serves as an adaptor molecule that connects KIF5 and its cargoes in vesicular transport during process formation. Protrudin facilitated the interaction of KIF5 with Rab11, VAP-A and -B, Surf4, and RTN3, suggesting that protrudin serves as an adaptor protein and that the protrudin-KIF5 complex contributes to the transport of these proteins in neurons. Coimmunoprecipitation experiments in HeLa revealed that protrudin also associated with GDP-Rab11a and GDP-Rab11b to similar extents.",RAB11B;ZFYVE27
SURF4-ZFYVE27 complex,6836;118813,,,,,"Protrudin is a membrane protein that regulates polarized vesicular trafficking in neurons (PMID:24668814). It serves as an adaptor molecule that connects KIF5 and its cargoes in vesicular transport during process formation. Protrudin facilitated the interaction of KIF5 with Rab11, VAP-A and -B, Surf4, and RTN3, suggesting that protrudin serves as an adaptor protein and that the protrudin-KIF5 complex contributes to the transport of these proteins in neurons. The binding of Surf4 and protrudin was also confirmed in a coimmunoprecipitation assay.",SURF4;ZFYVE27
Nek8-Pkd2 complex,18764;140859,GO:0060271;GO:0005929,cilium assembly;cilium,,,,Pkd2;Nek8
VAPB-ZFYVE27 complex,9217;118813,GO:0005783;GO:0016192,endoplasmic reticulum;vesicle-mediated transport,70.07;20.09.07,"endoplasmic reticulum;vesicular transport (Golgi network, etc.)","Protrudin is a membrane protein that regulates polarized vesicular trafficking in neurons (PMID:24668814). It serves as an adaptor molecule that connects KIF5 and its cargoes in vesicular transport during process formation. Protrudin facilitated the interaction of KIF5 with Rab11, VAP-A and -B, Surf4, and RTN3, suggesting that protrudin serves as an adaptor protein and that the protrudin-KIF5 complex contributes to the transport of these proteins in neurons. A pulldown assay revealed also the direct interaction of protrudin with VAP-B.",VAPB;ZFYVE27
3M complex,23363;7157;9978;9820;23113;26259;83987,GO:0000226,microtubule cytoskeleton organization,42.04.05,microtubule cytoskeleton,,OBSL1;TP53;RBX1;CUL7;CUL9;FBXW8;CCDC8
Hsp90-p23 complex,3320;10728,,,,,,HSP90AA1;PTGES3
c-Abl-CAS-Abi1 complex,25;9564;10006,GO:0006940,regulation of smooth muscle contraction,,,,ABL1;BCAR1;ABI1
Ccp110-Cep290-Rab8a complex,17274;216274;101565,GO:0060271,cilium assembly,,,,Rab8a;Cep290;Ccp110
NPHP1-PKD1 complex,4867;5310,GO:0006915;GO:0060271,apoptotic process;cilium assembly,40.10.02,apoptosis (type I programmed cell death),,NPHP1;PKD1
BBS1-BBS4-BBS5-PKD1-TTC8 complex,5310;129880;582;123016;585,GO:0005929;GO:0042073,cilium;intraciliary transport,,,,PKD1;BBS5;BBS1;TTC8;BBS4
